Supplementary Table 1. CpGs utilized in the elastic net age clock derived from all CpGs measured. Listed are the genomic coordinates, the linear coefficients of the model, and the distances to the transcription site (TSS) of the nearest genes.
Chromosome	Coordinate	Coefficient	Genes (distance to TSS)
chr15	89453736	0.0112	Mapk8ip2 (-176)     
chr15	94910196	0.1824	NONE      
chr15	98780511	2.6396	Wnt10b (-2362)     
chr15	99030446	-0.6849	Tuba1c (+556)     
chr15	99471618	-0.468	Nckap5l (-13871), Bcdin3d (+3111)    
chr15	101929872	0.2939	Krt4 (-5138), Krt79 (+10451)    
chr15	101929878	0.7396	Krt4 (-5144), Krt79 (+10445)    
chr15	102279425	-1.4774	Mfsd5 (-30)     
chr15	102975989	0.3893	Hoxc9 (-1042)     
chr16	3847098	-0.0212	Zfp174 (-169)     
chr16	3872336	0.0892	Zfp597 (+59)     
chr16	3872650	5.6789	Zfp597 (-255)     
chr16	10313919	0.4157	Emp2 (+48)     
chr16	10502161	2.0708	Ciita (+13984), Dexi (+40892)    
chr16	11253937	-5.4943	Gspt1 (+271)     
chr16	13256105	0.5157	Mkl2 (-375)     
chr16	14361658	0.2065	Abcc1 (+99)     
chr16	17798418	0.0796	Scarf2 (+1137), Car15 (+39945)    
chr16	17891609	-1.3337	Tssk1 (-2593), Gm20518 (+61), Dgcr2 (+83)   
chr16	19133634	0.761	Iglc2 (+66716)     
chr16	20651732	-0.3575	Psmd2 (+81)     
chr16	23107824	-2.0557	Eif4a2 (+381)     
chr16	30587877	-3.8351	Lsg1 (-286)     
chr16	30600158	-0.0539	Fam43a (+436)     
chr16	33250171	-1.6686	Snx4 (-1284)     
chr16	33830489	-0.1347	Itgb5 (+813)     
chr16	35022825	-1.8644	Ptplb (+405)     
chr16	87354566	0.0022	N6amt1 (+382)     
chr16	95987673	-0.8504	Psmg1 (+3286)     
chr17	3084720	-2.0387	Scaf8 (-30251)     
chr17	23673823	1.6617	Thoc6 (+18), Hcfc1r1 (+216)    
chr17	24606227	-0.0898	Tsc2 (+26401), Pkd1 (+56278)    
chr17	26415515	-0.4691	Neurl1b (+551)     
chr17	26849776	0.4762	Kifc5b (-67314), Nkx2-5 (-8212)    
chr17	26850736	0.4543	Kifc5b (-66354), Nkx2-5 (-9172)    
chr17	28177432	-0.0192	Zfp523 (+15)     
chr17	28622722	1.0282	Srpk1 (-202)     
chr17	28909688	0.8915	4930539E08Rik (+5635), Pnpla1 (+51278)    
chr17	34647456	-5.6272	Atf6b (+277)     
chr17	34850397	1.5783	Skiv2l (-188), Nelfe (+7)    
chr17	35821867	-0.0061	Flot1 (-1362), Ier3 (+184)    
chr17	35894940	0.4656	2310061I04Rik (+2490), Dhx16 (+15122)    
chr17	45576099	-0.0418	Hsp90ab1 (-2829)     
chr17	45664987	-1.3998	Capn11 (-5663), Tmem63b (+21271)    
chr17	46674224	2.4034	Rrp36 (+30)     
chr17	46687337	-0.0066	Mea1 (+6201), Ppp2r5d (+17664)    
chr17	50292979	0.5307	Dazl (+619)     
chr17	50292987	0.9001	Dazl (+611)     
chr17	53689264	2.2493	Sgol1 (+68)     
chr17	55878844	-2.0315	Zfp119a (+17)     
chr17	55970486	-2.0348	Shd (+20)     
chr17	56626659	11.7816	Catsperd (-1483), Lonp1 (+243)    
chr17	56935828	6.7322	Mllt1 (-441)     
chr17	56935839	3.116	Mllt1 (-452)     
chr17	57081607	-0.336	Dennd1c (-3098)     
chr17	69969337	1.5705	NONE      
chr17	69969391	2.4959	NONE      
chr17	73710569	-5.0901	Galnt14 (-119)     
chr17	80373376	3.7484	Arhgef33 (+65970)     
chr17	84185908	-2.1685	Zfp36l2 (+2038)     
chr17	84466096	-9.4537	Thada (+99)     
chr17	86970229	0.7504	Rhoq (+7148), Pigf (+55176)    
chr17	87258111	-0.441	Mcfd2 (+7792)     
chr17	87975219	-5.8666	Msh6 (+170)     
chr18	3336813	-0.5116	Crem (+865)     
chr18	6241331	-2.2163	Kif5b (+191)     
chr18	7003400	-0.0426	Mkx (+1313)     
chr18	11048438	0.1691	Gata6 (-4071)     
chr18	11839608	0.806	Cables1 (+389)     
chr18	34355772	-2.7749	Reep5 (+17642), Srp19 (+24628)    
chr18	34793123	-0.3263	Reep2 (-47465), Kdm3b (+16116)    
chr18	36018245	1.085	Psd2 (+53416)     
chr18	36196614	-0.6189	Nrg2 (+765)     
chr18	36320255	-0.3168	Cystm1 (-28518), Pura (+39159)    
chr18	36320621	1.2509	Cystm1 (-28152), Pura (+39525)    
chr18	37807726	0.2093	Pcdhga11 (-11819)     
chr18	38841353	0.0017	Fgf1 (+77417)     
chr18	39489490	-2.8241	Nr3c1 (+1183)     
chr18	42511094	-1.2144	Tcerg1 (-415)     
chr18	49531789	0.372	NONE      
chr18	66061561	-1.7962	Lman1 (-58925)     
chr18	76861061	-0.9896	Ier3ip1 (-68955), Skor2 (+4657)    
chr18	78858827	0.3438	NONE      
chr18	83051667	-0.1768	NONE      
chr18	83051760	-2.208	NONE      
chr18	84685444	0.5454	Cndp2 (-3449)     
chr19	4214299	-1.5136	Clcf1 (+62)     
chr19	4397285	0.7259	Kdm2a (-209)     
chr19	4613765	-0.563	Lrfn4 (+1736)     
chr19	4756363	-8.9538	Rbm4b (-207)     
chr19	5742232	-0.6146	Ltbp3 (+1329), Scyl1 (+29168)    
chr19	6141058	-2.0543	Arl2 (+347)     
chr19	8941842	-4.1411	Mta2 (-32)     
chr19	16436756	2.9055	Gna14 (+1090)     
chr19	18713622	-1.3906	D030056L22Rik (+387)     
chr19	27429839	-0.3173	D19Bwg1357e (-20)     
chr19	29648305	-2.5417	Ermp1 (+109)     
chr19	30030662	2.733	Uhrf2 (+150)     
chr19	30175122	2.0507	Gldc (+295)     
chr19	31762866	2.0969	Prkg1 (-98497)     
chr19	34746690	-0.3828	Slc16a12 (+598)     
chr19	36057657	-0.1948	Htr7 (-318)     
chr19	37018643	0.0666	Btaf1 (+92565)     
chr19	37435318	1.9621	Hhex (+2432)     
chr19	40895172	3.5706	Zfp518a (+468)     
chr19	42518732	3.4777	R3hcc1l (-26)     
chr19	44750466	2.2784	Pax2 (-5582)     
chr19	47731600	-2.07	Sfr1 (-155)     
chr19	53600187	-4.0217	Smc3 (-210)     
chr19	53600843	2.7944	Smc3 (+446)     
chr19	56874114	-0.5281	Vwa2 (-134)     
chr19	56906573	-0.0905	Vwa2 (+32325)     
chr19	59459911	0.5128	Emx2 (+1540)     
chr19	61226356	0.3507	Csf2ra (+2061), Gm6020 (+42467)    
chr19	61226587	0.6196	Csf2ra (+1830), Gm6020 (+42698)    
chr19	61226635	0.4102	Csf2ra (+1782), Gm6020 (+42746)    
chr19	61226647	3.9526	Csf2ra (+1770), Gm6020 (+42758)    
chr19	61226650	3.356	Csf2ra (+1767), Gm6020 (+42761)    
chr19	61226668	2.1127	Csf2ra (+1749), Gm6020 (+42779)    
